treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
object category "T_ST_WeaponNormal",1,0,0,0,1,0,0,0
new treasuretable "ST_ClothArmor"
new subtable "1,1"
object category "ClothUpperBody",1,1,0,0,0,0,0,0
object category "ClothLowerBody",1,1,0,0,0,0,0,0
object category "ClothBoots",1,1,0,0,0,0,0,0
object category "ClothGloves",1,1,0,0,0,0,0,0
object category "ClothHelmet",1,1,0,0,0,0,0,0
new treasuretable "ST_LightArmor"
new subtable "1,1"
StartLevel "1"
EndLevel "3"
object category "LightUpperBody",2,1,0,0,0,0,0,0
object category "LightLowerBody",2,1,0,0,0,0,0,0
object category "LightBoots",1,1,0,0,0,0,0,0
object category "LightGloves",1,1,0,0,0,0,0,0
new subtable "1,1"
StartLevel "4"
object category "LightUpperBody",1,1,0,0,0,0,0,0
object category "LightLowerBody",1,1,0,0,0,0,0,0
object category "LightBoots",1,1,0,0,0,0,0,0
object category "LightGloves",1,1,0,0,0,0,0,0
object category "LightHelmet",1,1,0,0,0,0,0,0
new treasuretable "ST_HeavyArmor"
new subtable "1,1"
StartLevel "1"
EndLevel "3"
object category "HeavyUpperBody",2,1,0,0,0,0,0,0
object category "HeavyLowerBody",2,1,0,0,0,0,0,0
object category "HeavyBoots",1,1,0,0,0,0,0,0
object category "HeavyGloves",1,1,0,0,0,0,0,0
new subtable "1,1"
StartLevel "4"
object category "HeavyUpperBody",1,1,0,0,0,0,0,0
object category "HeavyLowerBody",1,1,0,0,0,0,0,0
object category "HeavyBoots",1,1,0,0,0,0,0,0
object category "HeavyGloves",1,1,0,0,0,0,0,0
object category "HeavyHelmet",1,1,0,0,0,0,0,0
new treasuretable "ST_MageArmor"
new subtable "1,1"
StartLevel "1"
EndLevel "3"
object category "MageUpperBody",2,1,0,0,0,0,0,0
object category "MageLowerBody",2,1,0,0,0,0,0,0
object category "MageBoots",1,1,0,0,0,0,0,0
object category "MageGloves",1,1,0,0,0,0,0,0
new subtable "1,1"
StartLevel "4"
object category "MageUpperBody",1,1,0,0,0,0,0,0
object category "MageLowerBody",1,1,0,0,0,0,0,0
object category "MageBoots",1,1,0,0,0,0,0,0
object category "MageGloves",1,1,0,0,0,0,0,0
object category "MageHelmet",1,1,0,0,0,0,0,0
new treasuretable "ST_ArmorNormal"
new subtable "1,1"
object category "T_ST_LightArmor",1,1,0,0,0,0,0,0
object category "T_ST_HeavyArmor",1,1,0,0,0,0,0,0
object category "T_ST_MageArmor",1,1,0,0,0,0,0,0
new treasuretable "ARX_LoreMasterReward"
new subtable "4,1"
object category "I_SKILLBOOK_Fire_FireSlug",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_ArcaneStitch",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_ArtilleryPlant",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_ChainLightning",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_BlackShroud",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_ThickOfTheFight",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_CloseTheDoor",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_FanOfKnives",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_ArrowSpray",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_ShedSkin",1,0,0,0,0,0,0,0
new treasuretable "ST_SourceSkillBook"
new subtable "1,1"
object category "I_SKILLBOOK_Fire_FireSlug",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_ArcaneStitch",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_ArtilleryPlant",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_ChainLightning",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_BlackShroud",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_ThickOfTheFight",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_CloseTheDoor",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_FanOfKnives",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_ArrowSpray",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_ShedSkin",1,0,0,0,0,0,0,0
new treasuretable "FTJ_Margo"
new subtable "1,1"
object category "Gold",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "Food",4,0,0,0,0,0,0,0
object category "Fish",1,0,0,0,0,0,0,0
new subtable "-1"
object category "HealingPotion",1,0,0,0,0,0,0,0
new subtable "-4"
object category "I_SCROLL_Resurrect",1,0,0,0,0,0,0,0
new subtable "2,1;3,1;4,1"
object category "I_CON_Potion_Empty_A",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_SKILLBOOK_Water_Restoration",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_TOOL_IdentifyingGlass",1,0,0,0,0,0,0,0
new treasuretable "FTJ_ModyTreasure"
new subtable "-1"
object category "I_SKILLBOOK_Earth_Contamination",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_ST_Ingredients",2,0,0,0,0,0,0,0
new subtable "-1"
object category "Gold",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_TOOL_Figurine_Wood_A",1,0,0,0,0,0,0,0
new treasuretable "FTJ_SkillbookWater"
new subtable "1,1"
object category "I_SKILLBOOK_Water_Rain",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_FrostyShell",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_Restoration",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_HailStrike",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_WinterBlast",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_IceFan",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_FrostAura",1,0,0,0,0,0,0,0
new treasuretable "FTJ_SkillbookFire"
new subtable "1,1"
object category "I_SKILLBOOK_Fire_Haste",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_Ignition",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_BurnMyEyes",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_FlamingDaggers",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_SpontaneousCombustion",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_Supernova",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_Fireball",1,0,0,0,0,0,0,0
new treasuretable "FTJ_SkillbookAir"
new subtable "1,1"
object category "I_SKILLBOOK_Air_ShockingTouch",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_FavourableWind",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_LightningBolt",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_BlindingRadiance",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_EvasiveManeuver",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Teleportation_FreeFall",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_DazingBolt",1,0,0,0,0,0,0,0
new treasuretable "FTJ_SkillbookEarth"
new subtable "1,1"
object category "I_SKILLBOOK_Earth_Fortify",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_PyroclasticRock",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_Contamination",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_PoisonDart",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_RockSpikes",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_MendMetal",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_WormTremor",1,0,0,0,0,0,0,0
new treasuretable "FTJ_SkillbookNecromancy"
new subtable "1,1"
object category "I_SKILLBOOK_Necromancy_BloodBubble",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_MosquitoSwarm",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_BloatedCorpse",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_DecayingTouch",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_ShacklesOfPain",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_Infect",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_DeathWish",1,0,0,0,0,0,0,0
new treasuretable "FTJ_SkillbookRanger"
new subtable "1,1"
object category "I_SKILLBOOK_Ranger_Ricochet",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_FirstAid",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_PinDown",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_ElementalArrowheads",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_SkyShot",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_TacticalRetreat",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_Multishot",1,0,0,0,0,0,0,0
new treasuretable "FTJ_SkillbookRogue"
new subtable "1,1"
object category "I_SKILLBOOK_Rogue_Adrenaline",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_Choloroform",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_ThrowingKnife",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_Vault",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_SerratedEdge",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_KneeBreaker",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_CloakAndDagger",1,0,0,0,0,0,0,0
new treasuretable "FTJ_SkillbookPolymorph"
new subtable "1,1"
object category "I_SKILLBOOK_Polymorph_ChickenTouch",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_TentacleLash",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_BullHorns",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_ChameleonSkin",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_Wings",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_SteelSkin",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_MedusaHead",1,0,0,0,0,0,0,0
new treasuretable "FTJ_SkillbookWarrior"
new subtable "1,1"
object category "I_SKILLBOOK_Warrior_BatteringRam",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_GroundSmash",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_CripplingBlow",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_BouncingShield",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_Enrage",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_Whirlwind",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_Taunt",1,0,0,0,0,0,0,0
new treasuretable "FTJ_SkillbookSummoning"
new subtable "1,1"
object category "I_SKILLBOOK_Summoning_Incarnate",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_DimensionalBolt",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_TotemFromSurface",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_RangedInfusion",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_PowerInfusion",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_Harmony",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_Supercharge",1,0,0,0,0,0,0,0
new treasuretable "FTJ_SW_BraccusArmoryReward"
new subtable "-1"
object category "GoldBig",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_SKILLBOOK_Air_ChainLightning",1,0,0,0,0,0,0,0
new treasuretable "FTJ_SW_Radeka"
new subtable "-1"
object category "I_SKILLBOOK_Necromancy_Infect",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_FTJ_Radeka_Wand",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_ST_WeaponNormal",1,0,0,0,1,0,0,0
new subtable "1,1"
object category "T_ST_ArmorNormal",1,0,0,0,1,0,0,0
new subtable "1,1"
object category "T_ST_RingAmuletBelt",1,0,0,0,1,0,0,0
new subtable "1,1"
object category "GoldBig",1,0,0,0,0,0,0,0
new treasuretable "DW_Healer"
new subtable "1,1"
object category "Trader Gold",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_ST_HerbTrader",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_ST_PotionsTrader",1,0,0,0,0,0,0,0
new treasuretable "RC_DW_SourceLich_Necromancy"
new subtable "1,1"
object category "I_SKILLBOOK_Necromancy_ShacklesOfPain",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_Infect",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_DeathWish",1,0,0,0,0,0,0,0
new treasuretable "RC_DW_SourceLich_Earth"
new subtable "1,1"
object category "I_SKILLBOOK_Earth_RockSpikes",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_MendMetal",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_WormTremor",1,0,0,0,0,0,0,0
new treasuretable "RC_DW_SourceLich_Ranger"
new subtable "1,1"
object category "I_SKILLBOOK_Ranger_PiercingShot",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_ReactionShot",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_BallisticShot",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_ArrowSpray",1,0,0,0,0,0,0,0
new treasuretable "RC_DW_SourceLich_Rogue"
new subtable "1,1"
object category "I_SKILLBOOK_Rogue_CorruptedBlade",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_GagOrder",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_SleepingArms",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_FanOfKnives",1,0,0,0,0,0,0,0
new treasuretable "RC_DW_SourceLich_Warrior"
new subtable "1,1"
object category "I_SKILLBOOK_Warrior_Enrage",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_Whirlwind",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_Taunt",1,0,0,0,0,0,0,0
new treasuretable "RC_GY_Qanna"
new subtable "1,1"
object category "GoldBig",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_SKILLBOOK_Necromancy_BonePile",1,0,0,0,0,0,0,0
new treasuretable "RC_BF_CorneredSourcererHannag"
new subtable "1,1"
object category "I_SKILLBOOK_Air_ChainLightning",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_ElectricFence",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_ArtilleryPlant",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_AcidSpores",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_FireSlug",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_InfectiousFlame",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_BlackShroud",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_GraspOfTheStarved",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_ArrowSpray",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_Farsight",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_FanOfKnives",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Rogue_DaggersDrawn",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_ThickOfTheFight",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Warrior_Flurry",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_ArcaneStitch",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Water_SteamLance",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_ShedSkin",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_DemonicBargain",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_CloseTheDoor",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Summoning_PlanarGateway",1,0,0,0,0,0,0,0
new treasuretable "FTJ_SW_Gratiana"
new subtable "2,1"
object category "T_ST_Scroll",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_ST_Skillbook",1,0,0,0,0,0,0,0
new subtable "2,1"
object category "T_ST_AllPotions",1,0,0,0,0,0,0,0
new subtable "-4"
object category "I_SCROLL_Resurrect",1,0,0,0,0,0,0,0
new subtable "2,1"
object category "T_ST_Trader_RingAmuletBeltNormal",1,0,1,1,0,0,0,0
new subtable "2,1"
object category "T_ST_Trader_MageArmor",1,1,1,0,0,0,0,0
new subtable "6,1"
object category "T_ST_Trader_WeaponWizard",1,2,1,0,0,0,0,0
new subtable "1,1"
object category "Trader Gold",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_ARM_UNIQUE_Astartes_Tears_Ring",1,0,0,0,0,0,0,0
new treasuretable "ST_SkillbookAir"
new subtable "1,1"
object category "I_SKILLBOOK_Air_ShockingTouch",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_FavourableWind",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_LightningBolt",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_BlindingRadiance",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_EvasiveManeuver",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Teleportation_FreeFall",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_DazingBolt",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_ChainLightning",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Netherswap",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Apportation",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_PressureSpike",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_ElectricFence",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Tornado",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Superconductor",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Lightning",1,0,0,0,0,0,0,0
new treasuretable "ST_Skillbook_AirTrainer"
MinLevel "-30"
MaxLevel "0"
new subtable "1,1"
object category "I_SKILLBOOK_Air_ShockingTouch",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_FavourableWind",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_LightningBolt",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_BlindingRadiance",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Teleportation_FreeFall",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Netherswap",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_ElectricFence",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_ChainLightning",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Tornado",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_DazingBolt",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_EvasiveManeuver",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_TimeWarp",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_PressureSpike",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Superconductor",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Lightning",1,0,0,0,0,0,0,0
new treasuretable "ST_Skillbook_EarthTrainer"
MinLevel "-30"
MaxLevel "0"
new subtable "1,1"
object category "I_SKILLBOOK_Earth_PyroclasticRock",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_Contamination",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_PoisonDart",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_RockSpikes",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_AcidSpores",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_Fortify",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_ArtilleryPlant",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_MendMetal",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_WormTremor",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_PoisonWave",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_ReactiveArmor",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_Earthquake",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_SiphonPoison",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_LivingWall",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_PyroclasticEruption",1,0,0,0,0,0,0,0
new treasuretable "ST_Skillbook_FireTrainer"
MinLevel "-30"
MaxLevel "0"
new subtable "1,1"
object category "I_SKILLBOOK_Fire_Haste",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_Ignition",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_BurnMyEyes",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_FlamingDaggers",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_SpontaneousCombustion",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_Fireball",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_InfectiousFlame",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_FireSlug",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_Supernova",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_LaserRay",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_FireWhip",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_FlamingTongues",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_MeteorShower",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_FireBrand",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_FlamingCrescendo",1,0,0,0,0,0,0,0
new treasuretable "ST_Skillbook_NecromancyTrainer"
MinLevel "-30"
MaxLevel "0"
new subtable "1,1"
object category "I_SKILLBOOK_Necromancy_BloodBubble",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_ShacklesOfPain",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_MosquitoSwarm",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_Infect",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_DecayingTouch",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_BloatedCorpse",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_DeathWish",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_BlackShroud",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_DeathsDoor",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_BonePile",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_BoneCage",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_GraspOfTheStarved",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_SilencingStare",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_LastRites",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Necromancy_NecromancerTotems",1,0,0,0,0,0,0,0
new treasuretable "ST_Skillbook_PolymorphTrainer"
MinLevel "-30"
MaxLevel "0"
new subtable "1,1"
object category "I_SKILLBOOK_Polymorph_ChickenTouch",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_TentacleLash",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_BullHorns",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_SteelSkin",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_ChameleonSkin",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_Wings",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_ShedSkin",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_MedusaHead",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_SpiderLegs",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_SwapGround",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_LaunchOilBlob",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_DemonicBargain",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_StripResistance",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_Equalize",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Polymorph_Apotheosis",1,0,0,0,0,0,0,0
new treasuretable "ST_Skillbook_RangerTrainer"
MinLevel "-30"
MaxLevel "0"
new subtable "1,1"
object category "I_SKILLBOOK_Ranger_Ricochet",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_FirstAid",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_Mark",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Ranger_PiercingShot",1,0,0,0,0,0,0,0
